event_id,timestamp,user_id,src_segment,dst_segment,src_ip,dst_ip,port,protocol,bytes,device_id,is_anomalous,hour,is_off_hours,cross_segment,log_bytes,uba_anomaly_score,uba_flagged
NW001333,2026-06-01 07:38:47,STF1051,staff-ops,staff-ops,10.20.151.170,10.20.24.213,8080,TCP,216064,DEV0263,0,7,0,0,12.283334567323102,0.46161612039569155,0
NW006072,2026-06-01 07:45:23,STF1082,staff-ops,internet,10.20.252.222,198.51.207.158,443,TCP,331533,DEV0075,0,7,0,1,12.71148564745128,0.4600139246907185,0
NW004712,2026-06-01 07:49:45,VND2011,vendor-vpn,internet,10.60.115.166,198.51.169.79,443,TCP,76916,DEV0160,0,7,0,1,11.250482197382073,0.556172351593525,0
NW002420,2026-06-01 08:10:46,STF1082,staff-ops,internet,10.20.66.99,198.51.205.194,443,UDP,292205,DEV0012,0,8,0,1,12.585214311968823,0.5720954649869519,0
NW003086,2026-06-01 08:26:29,VND2006,vendor-vpn,internet,10.60.5.35,198.51.232.125,80,TCP,385965,DEV0050,0,8,0,1,12.863504561665886,0.5614564595481515,0
NW000919,2026-06-01 08:30:24,VND2019,vendor-vpn,vendor-vpn,10.60.191.151,10.20.25.16,443,TCP,126925,DEV0381,0,8,0,0,11.751359518453064,0.47356014321667816,0
NW000477,2026-06-01 08:35:12,STF1007,staff-ops,staff-ops,10.20.13.115,10.20.88.234,445,TCP,82191,DEV0134,0,8,0,0,11.31681325270705,0.39965552718959385,0
NW001503,2026-06-01 08:38:15,STF1047,staff-ops,staff-ops,10.20.21.97,10.20.254.180,80,UDP,134394,DEV0072,0,8,0,0,11.808538503998209,0.5195028751847096,0
NW001087,2026-06-01 08:39:19,STF1139,staff-ops,staff-ops,10.20.16.150,10.20.161.218,8080,TCP,91628,DEV0102,0,8,0,0,11.425503094443416,0.46925964620880656,0
NW002791,2026-06-01 08:44:19,VND2014,vendor-vpn,vendor-vpn,10.60.174.80,10.20.97.4,8080,TCP,350740,DEV0059,0,8,0,0,12.767803338334005,0.5679599672472965,0
NW002831,2026-06-01 09:11:53,STF1058,staff-ops,staff-ops,10.20.94.180,10.20.130.215,443,UDP,200990,DEV0285,0,9,0,0,12.21101540991933,0.4906142191619966,0
NW000009,2026-06-01 09:14:34,VND2005,vendor-vpn,vendor-vpn,10.60.23.53,10.20.200.30,443,TCP,104310,DEV0222,0,9,0,0,11.555132100432616,0.47358819261283497,0
NW000741,2026-06-01 09:21:20,STF1080,staff-ops,staff-ops,10.20.162.196,10.20.154.65,80,TCP,119716,DEV0228,0,9,0,0,11.692885903182903,0.3984742003615567,0
NW002062,2026-06-01 09:38:04,STF1020,staff-ops,staff-ops,10.20.235.193,10.20.53.160,445,TCP,292923,DEV0060,0,9,0,0,12.587668468687395,0.38976850480864483,0
NW004998,2026-06-01 09:49:00,VND2014,vendor-vpn,vendor-vpn,10.60.245.101,10.20.112.29,443,TCP,299308,DEV0381,0,9,0,0,12.609231763552406,0.4696626726029694,0
NW005429,2026-06-01 09:51:43,STF1060,staff-ops,staff-ops,10.20.206.26,10.20.88.9,22,UDP,169963,DEV0008,0,9,0,0,12.043341928901205,0.5192656245003828,0
NW000527,2026-06-01 09:51:44,STF1054,staff-ops,staff-ops,10.20.34.34,10.20.115.54,443,TCP,279978,DEV0313,0,9,0,0,12.542469879338746,0.38136925066504423,0
NW003453,2026-06-01 09:51:58,STF1078,staff-ops,staff-ops,10.20.249.2,10.20.195.78,443,TCP,182807,DEV0123,0,9,0,0,12.116191700720734,0.3818732352042029,0
NW001311,2026-06-01 09:59:19,STF1055,staff-ops,staff-ops,10.20.215.92,10.20.248.124,443,TCP,265551,DEV0077,0,9,0,0,12.489565957360501,0.3801977690051672,0
NW000001,2026-06-01 10:01:45,STF1049,staff-ops,staff-ops,10.20.61.125,10.20.98.223,5432,TCP,148883,DEV0387,0,10,0,0,11.910922758230871,0.45094455316884,0
NW005432,2026-06-01 10:06:46,VND2023,vendor-vpn,vendor-vpn,10.60.57.239,10.20.234.202,80,TCP,89566,DEV0292,0,10,0,0,11.402742227551174,0.4914885816572134,0
NW006146,2026-06-01 10:23:22,STF1056,staff-ops,staff-ops,10.20.61.15,10.20.181.141,22,UDP,310313,DEV0037,0,10,0,0,12.645339967046803,0.5153889457597048,0
NW002227,2026-06-01 10:50:01,STF1046,staff-ops,staff-ops,10.20.136.2,10.20.112.221,443,TCP,124268,DEV0109,0,10,0,0,11.730203849773215,0.3820627494760158,0
NW000120,2026-06-01 10:50:16,STF1001,staff-ops,staff-ops,10.20.245.16,10.20.170.2,80,TCP,112220,DEV0097,0,10,0,0,11.628225420332805,0.39565247306252393,0
NW005304,2026-06-01 10:57:18,VND2015,vendor-vpn,vendor-vpn,10.60.205.250,10.20.160.104,5432,TCP,146870,DEV0182,0,10,0,0,11.897309929467154,0.5462039680947135,0
NW000182,2026-06-01 10:57:21,STF1084,staff-ops,staff-ops,10.20.39.74,10.20.57.102,443,TCP,336305,DEV0262,0,10,0,0,12.725776738782411,0.3815154204601566,0
NW004860,2026-06-01 10:57:58,STF1024,staff-ops,staff-ops,10.20.194.154,10.20.50.68,443,UDP,29912,DEV0253,0,10,0,0,10.306048447496902,0.5367694772645587,0
NW002401,2026-06-01 11:03:09,STF1022,staff-ops,staff-ops,10.20.88.122,10.20.84.92,443,TCP,393186,DEV0148,0,11,0,0,12.882040604653653,0.38834607128994336,0
NW002304,2026-06-01 11:17:53,STF1173,staff-ops,staff-ops,10.20.123.97,10.20.110.77,443,TCP,282635,DEV0055,0,11,0,0,12.551915129654365,0.3770319780972989,0
NW000067,2026-06-01 11:26:25,STF1128,staff-ops,staff-ops,10.20.226.253,10.20.202.79,8080,TCP,176319,DEV0237,0,11,0,0,12.080055804946687,0.4533990617916734,0
NW004570,2026-06-01 11:28:32,STF1065,staff-ops,staff-ops,10.20.137.115,10.20.204.200,443,TCP,295940,DEV0348,0,11,0,0,12.59791538911414,0.377079243616425,0
NW003092,2026-06-01 11:45:06,STF1139,staff-ops,internet,10.20.22.254,198.51.210.113,3389,TCP,67715,DEV0366,0,11,0,1,11.12307776775714,0.5043599414672343,0
NW001095,2026-06-01 12:00:48,STF1137,staff-ops,staff-ops,10.20.224.241,10.20.189.38,80,TCP,298355,DEV0119,0,12,0,0,12.606042683356359,0.3913296716137415,0
NW003846,2026-06-01 12:11:26,VND2026,vendor-vpn,internet,10.60.127.15,198.51.179.135,80,TCP,349258,DEV0164,0,12,0,1,12.763569046293265,0.5483259421548272,0
NW005667,2026-06-01 12:14:16,STF1060,staff-ops,staff-ops,10.20.92.191,10.20.63.158,443,TCP,79713,DEV0383,0,12,0,0,11.286200508072321,0.38591911514921173,0
NW000462,2026-06-01 12:15:01,VND2017,vendor-vpn,internet,10.60.219.219,198.51.207.179,3389,TCP,342000,DEV0192,0,12,0,1,12.742568940017076,0.5685998765116375,0
NW003185,2026-06-01 12:26:32,STF1166,staff-ops,staff-ops,10.20.29.211,10.20.8.74,80,TCP,243804,DEV0363,0,12,0,0,12.404124004432628,0.38871217922570545,0
NW005599,2026-06-01 12:27:51,STF1004,staff-ops,internet,10.20.219.16,198.51.89.100,80,TCP,21961,DEV0115,0,12,0,1,9.99706896615766,0.5008737251836783,0
NW005021,2026-06-01 12:28:54,STF1078,staff-ops,staff-ops,10.20.187.47,10.20.228.135,443,UDP,331863,DEV0233,0,12,0,0,12.712480525419616,0.4811017558009962,0
NW005269,2026-06-01 12:30:45,STF1073,staff-ops,staff-ops,10.20.129.220,10.20.6.117,443,TCP,26629,DEV0079,0,12,0,0,10.189793678807979,0.41852263367583453,0
NW000676,2026-06-01 12:42:13,VND2007,vendor-vpn,vendor-vpn,10.60.33.149,10.20.97.116,22,TCP,127905,DEV0054,0,12,0,0,11.759050898116344,0.48758587965621575,0
NW005316,2026-06-01 12:43:35,STF1073,staff-ops,staff-ops,10.20.20.157,10.20.158.175,80,TCP,396339,DEV0309,0,12,0,0,12.890027707721204,0.4040158474114729,0
NW004483,2026-06-01 12:46:01,STF1117,staff-ops,staff-ops,10.20.8.218,10.20.115.33,443,UDP,396024,DEV0082,0,12,0,0,12.88923261955705,0.4910166940620043,0
NW000658,2026-06-01 12:48:37,VND2000,vendor-vpn,internet,10.60.177.54,198.51.226.94,443,TCP,53504,DEV0209,0,12,0,1,10.887530386461101,0.5459042806289168,0
NW003138,2026-06-01 13:03:38,STF1040,staff-ops,staff-ops,10.20.202.51,10.20.205.215,443,TCP,177313,DEV0238,0,13,0,0,12.08567745115589,0.37734736661404744,0
NW004732,2026-06-01 13:06:18,STF1007,staff-ops,staff-ops,10.20.100.222,10.20.1.13,80,TCP,210454,DEV0313,0,13,0,0,12.257027132528982,0.39083828270070897,0
NW000978,2026-06-01 13:08:29,STF1028,staff-ops,staff-ops,10.20.33.103,10.20.98.106,443,TCP,71432,DEV0277,0,13,0,0,11.176515226427094,0.38750701178209224,0
NW003023,2026-06-01 13:22:49,STF1020,staff-ops,staff-ops,10.20.232.22,10.20.138.185,22,UDP,340899,DEV0004,0,13,0,0,12.739344458125995,0.5125352111404734,0
NW005621,2026-06-01 13:26:50,STF1159,staff-ops,staff-ops,10.20.88.85,10.20.67.199,8080,TCP,89059,DEV0022,0,13,0,0,11.397065578875694,0.457923211385185,0
NW003527,2026-06-01 13:29:18,STF1176,staff-ops,staff-ops,10.20.130.45,10.20.238.41,22,TCP,288079,DEV0172,0,13,0,0,12.570993498322757,0.3938391707543784,0
NW006187,2026-06-01 13:33:56,STF1085,staff-ops,staff-ops,10.20.173.178,10.20.38.181,80,TCP,380468,DEV0358,0,13,0,0,12.849159981217174,0.4010439813102186,0
NW006058,2026-06-01 13:35:43,STF1105,staff-ops,staff-ops,10.20.172.86,10.20.38.48,443,TCP,280445,DEV0311,0,13,0,0,12.544136472042826,0.3772643057140668,0
NW003924,2026-06-01 13:38:32,STF1021,staff-ops,staff-ops,10.20.194.18,10.20.130.212,8080,TCP,172834,DEV0337,0,13,0,0,12.060092661138658,0.4506235779747726,0
NW001562,2026-06-01 14:19:29,VND2000,vendor-vpn,vendor-vpn,10.60.109.198,10.20.206.157,80,UDP,108545,DEV0159,0,14,0,0,11.594929325249316,0.6115025902786119,0
NW006269,2026-06-01 14:44:10,STF1095,staff-ops,staff-ops,10.20.41.128,10.20.150.48,443,TCP,216300,DEV0048,0,14,0,0,12.28442623513897,0.37607469116631137,0
NW006360,2026-06-01 14:49:53,STF1074,staff-ops,staff-ops,10.20.97.166,10.20.110.113,22,TCP,62463,DEV0100,0,14,0,0,11.042345669772764,0.40916263806496966,0
NW000963,2026-06-01 14:53:55,STF1045,staff-ops,staff-ops,10.20.233.222,10.20.42.85,443,TCP,13845,DEV0065,0,14,0,0,9.53575166123797,0.443093747003435,0
NW003437,2026-06-01 14:56:48,VND2010,vendor-vpn,internet,10.60.212.247,198.51.202.15,22,TCP,343836,DEV0075,0,14,0,1,12.747922986849908,0.5520998306484608,0
NW004075,2026-06-01 14:59:24,STF1001,staff-ops,staff-ops,10.20.72.189,10.20.13.34,445,TCP,36689,DEV0345,0,14,0,0,10.510259517349327,0.41424337233683756,0
NW000551,2026-06-01 14:59:34,STF1157,staff-ops,internet,10.20.239.77,198.51.245.220,443,TCP,154360,DEV0235,0,14,0,1,11.94704929399284,0.4377959954597281,0
NW000885,2026-06-01 15:07:43,VND2015,vendor-vpn,internet,10.60.49.35,198.51.147.26,443,TCP,397114,DEV0009,0,15,0,1,12.891981190266417,0.5412157140365382,0
NW004947,2026-06-01 15:15:34,STF1097,staff-ops,internet,10.20.163.119,198.51.115.229,8080,TCP,99288,DEV0228,0,15,0,1,11.505790068469217,0.5325292195943943,0
NW002512,2026-06-01 15:23:28,STF1158,staff-ops,staff-ops,10.20.81.141,10.20.13.18,443,TCP,187158,DEV0135,0,15,0,0,12.139713801943865,0.37766081654240036,0
NW000484,2026-06-01 15:29:51,STF1028,staff-ops,staff-ops,10.20.177.30,10.20.42.39,443,TCP,172479,DEV0289,0,15,0,0,12.05803656670277,0.3782507176334412,0
NW004858,2026-06-01 15:31:14,STF1020,staff-ops,internet,10.20.170.220,198.51.205.232,5432,UDP,189208,DEV0189,0,15,0,1,12.15060750317892,0.6098385954539851,0
NW000281,2026-06-01 15:41:31,VND2025,vendor-vpn,vendor-vpn,10.60.103.93,10.20.232.120,443,TCP,11168,DEV0159,0,15,0,0,9.320897362540826,0.5419850837960125,0
NW001481,2026-06-01 15:43:00,STF1179,staff-ops,staff-ops,10.20.226.150,10.20.221.226,8080,TCP,227314,DEV0125,0,15,0,0,12.334091999744203,0.4493985895545169,0
NW004408,2026-06-01 15:46:47,STF1000,staff-ops,staff-ops,10.20.117.85,10.20.236.112,80,TCP,42623,DEV0050,0,15,0,0,10.660172753900062,0.4200036877634234,0
NW006364,2026-06-01 15:51:07,VND2013,vendor-vpn,vendor-vpn,10.60.161.26,10.20.16.75,22,UDP,337153,DEV0205,0,15,0,0,12.72829507824777,0.6149997244284039,0
NW001934,2026-06-01 15:51:17,STF1029,staff-ops,staff-ops,10.20.245.238,10.20.168.99,8080,TCP,223354,DEV0223,0,15,0,0,12.316517712918769,0.44931460222497993,0
NW001704,2026-06-01 15:54:26,STF1177,staff-ops,staff-ops,10.20.251.212,10.20.98.159,443,TCP,262315,DEV0251,0,15,0,0,12.477305162850882,0.3761786477873817,0
NW003372,2026-06-01 16:01:55,STF1029,staff-ops,staff-ops,10.20.254.239,10.20.24.116,3389,TCP,298856,DEV0282,0,16,0,0,12.60772047710005,0.4352407876393703,0
NW002855,2026-06-01 16:09:50,STF1174,staff-ops,staff-ops,10.20.128.54,10.20.234.9,445,TCP,393821,DEV0071,0,16,0,0,12.883654309548508,0.40130065106191487,0
NW005812,2026-06-01 16:16:50,STF1021,staff-ops,staff-ops,10.20.95.87,10.20.116.213,8080,TCP,257765,DEV0165,0,16,0,0,12.459807475607297,0.45362068535395217,0
NW001572,2026-06-01 16:25:37,STF1044,staff-ops,internet,10.20.224.85,198.51.51.252,22,TCP,144038,DEV0295,0,16,0,1,11.877839375222745,0.4577456529604617,0
NW005597,2026-06-01 16:26:24,STF1032,staff-ops,internet,10.20.167.205,198.51.19.130,443,TCP,373350,DEV0217,0,16,0,1,12.830274274912115,0.44744447714136243,0
NW001129,2026-06-01 16:30:20,STF1167,staff-ops,internet,10.20.2.87,198.51.241.39,445,TCP,152711,DEV0312,0,16,0,1,11.936309073580738,0.4492159992172244,0
NW000914,2026-06-01 16:45:24,VND2009,vendor-vpn,internet,10.60.137.36,198.51.128.73,8080,TCP,42792,DEV0092,0,16,0,1,10.66412981679203,0.6261018594913942,0
NW003281,2026-06-01 16:57:16,STF1046,staff-ops,staff-ops,10.20.210.174,10.20.28.29,3389,UDP,210673,DEV0377,0,16,0,0,12.258067193981608,0.5391793094365764,0
NW002081,2026-06-01 17:01:13,STF1036,staff-ops,staff-ops,10.20.55.198,10.20.15.88,443,TCP,67366,DEV0350,0,17,0,0,11.117910562756883,0.39362040680461663,0
NW003073,2026-06-01 17:20:15,STF1010,staff-ops,staff-ops,10.20.151.188,10.20.180.52,443,TCP,128193,DEV0057,0,17,0,0,11.76130002050139,0.38636503951169776,0
NW000117,2026-06-01 17:27:28,STF1124,staff-ops,staff-ops,10.20.212.64,10.20.25.189,80,TCP,386851,DEV0355,0,17,0,0,12.865797469926754,0.40853847475896876,0
NW002373,2026-06-01 17:33:08,STF1165,staff-ops,internet,10.20.219.170,198.51.84.207,5432,TCP,109807,DEV0023,0,17,0,1,11.606488665148415,0.5154452182555829,0
NW003649,2026-06-01 17:39:38,STF1179,staff-ops,internet,10.20.176.214,198.51.29.120,3389,TCP,348504,DEV0365,0,17,0,1,12.76140785628209,0.4974924974109212,0
NW001537,2026-06-01 17:40:51,STF1091,staff-ops,internet,10.20.237.189,198.51.205.180,5432,TCP,80300,DEV0024,0,17,0,1,11.293537353157436,0.5265513502393481,0
NW003057,2026-06-01 17:42:20,VND2005,vendor-vpn,internet,10.60.62.224,198.51.160.216,443,TCP,81095,DEV0093,0,17,0,1,11.303388917062236,0.546096594260173,0
NW006020,2026-06-01 17:46:47,STF1086,staff-ops,staff-ops,10.20.56.65,10.20.176.207,443,UDP,245216,DEV0364,0,17,0,0,12.409898811799138,0.48034274195479076,0
NW005400,2026-06-01 17:51:02,STF1155,staff-ops,internet,10.20.198.145,198.51.136.196,22,UDP,109219,DEV0387,0,17,0,1,11.601119475706145,0.5831376927490907,0
NW006179,2026-06-01 17:51:44,STF1121,staff-ops,staff-ops,10.20.226.3,10.20.94.17,22,TCP,85700,DEV0185,0,17,0,0,11.358619773129229,0.4065754313973976,0
NW006303,2026-06-01 17:52:12,VND2032,vendor-vpn,vendor-vpn,10.60.65.188,10.20.203.227,445,TCP,198769,DEV0321,0,17,0,0,12.199903656384645,0.47590585805073815,0
NW006089,2026-06-01 18:12:16,STF1097,staff-ops,staff-ops,10.20.156.179,10.20.8.91,443,TCP,242411,DEV0375,0,18,0,0,12.398394036902461,0.3859238012126171,0
NW002404,2026-06-01 18:20:32,STF1155,staff-ops,internet,10.20.233.89,198.51.4.154,443,TCP,311173,DEV0323,0,18,0,1,12.648107520238241,0.44436983728501983,0
NW003306,2026-06-01 18:32:07,VND2028,vendor-vpn,vendor-vpn,10.60.228.218,10.20.66.74,3389,UDP,353529,DEV0223,0,18,0,0,12.7757236263473,0.6305923859254499,0
NW000512,2026-06-01 18:34:23,STF1018,staff-ops,operational-apps,10.20.234.32,10.20.231.53,5432,UDP,2883530,DEV0376,1,18,0,1,14.874526142803466,0.6862394191447213,1
NW000061,2026-06-01 18:56:57,STF1140,staff-ops,staff-ops,10.20.231.149,10.20.160.79,443,TCP,19095,DEV0277,0,18,0,0,9.857234168018666,0.43678473089453446,0
NW002055,2026-06-01 18:57:54,STF1165,staff-ops,internet,10.20.16.127,198.51.149.35,443,TCP,50415,DEV0071,0,18,0,1,10.828063863997055,0.4707557295347232,0
NW005998,2026-06-01 19:11:00,STF1116,staff-ops,internet,10.20.183.113,198.51.15.82,80,TCP,248288,DEV0003,0,19,0,1,12.422348669266439,0.46540837818457415,0
NW000825,2026-06-01 19:13:07,STF1154,staff-ops,internet,10.20.194.59,198.51.175.226,443,UDP,218772,DEV0176,0,19,0,1,12.29578994154988,0.5721621276359729,0
NW001229,2026-06-01 19:24:52,STF1013,staff-ops,internet,10.20.225.66,198.51.35.19,443,TCP,212561,DEV0302,0,19,0,1,12.266988989497447,0.4485112754830023,0
NW004693,2026-06-01 19:30:22,STF1141,staff-ops,staff-ops,10.20.82.182,10.20.11.70,80,TCP,351926,DEV0279,0,19,0,0,12.771179046709072,0.4101071519966987,0
NW000536,2026-06-01 19:32:48,STF1036,staff-ops,staff-ops,10.20.145.90,10.20.118.113,5432,TCP,304248,DEV0014,0,19,0,0,12.625601724073624,0.46862728021336153,0
NW001768,2026-06-01 19:43:10,STF1165,staff-ops,internet,10.20.120.154,198.51.5.196,443,TCP,90140,DEV0001,0,19,0,1,11.409130390037108,0.4660167015670681,0
NW003570,2026-06-01 19:46:41,STF1124,staff-ops,staff-ops,10.20.26.43,10.20.92.96,5432,TCP,88623,DEV0384,0,19,0,0,11.392157980272884,0.47758661798622376,0
NW006254,2026-06-01 19:46:54,STF1173,staff-ops,staff-ops,10.20.221.161,10.20.200.56,443,TCP,199424,DEV0317,0,19,0,0,12.20319350477933,0.3896945341325454,0
NW000659,2026-06-01 19:53:07,STF1088,staff-ops,staff-ops,10.20.15.217,10.20.44.170,8080,UDP,298190,DEV0006,0,19,0,0,12.605489499770798,0.5927324846698888,0
NW004725,2026-06-01 19:54:32,STF1070,staff-ops,staff-ops,10.20.84.128,10.20.98.155,80,TCP,326984,DEV0353,0,19,0,0,12.697669577267625,0.40849110881808576,0
NW005677,2026-06-01 19:59:52,VND2006,vendor-vpn,vendor-vpn,10.60.46.109,10.20.221.205,443,TCP,364711,DEV0327,0,19,0,0,12.806863280011967,0.4905598584003645,0
NW006356,2026-06-01 20:14:33,VND2003,vendor-vpn,vendor-vpn,10.60.49.201,10.20.77.200,443,TCP,134186,DEV0380,0,20,0,0,11.806989628484711,0.494905213284306,0
NW005028,2026-06-01 20:16:08,STF1160,staff-ops,staff-ops,10.20.191.213,10.20.220.107,80,TCP,44176,DEV0200,0,20,0,0,10.695959570639554,0.4393636517021698,0
NW000664,2026-06-01 20:26:56,STF1110,staff-ops,staff-ops,10.20.94.235,10.20.34.121,80,UDP,86194,DEV0170,0,20,0,0,11.364367450329079,0.5348670200039753,0
NW004340,2026-06-01 20:41:36,STF1019,staff-ops,staff-ops,10.20.210.170,10.20.172.79,22,UDP,222148,DEV0062,0,20,0,0,12.311103606890947,0.5274825208421875,0
NW004440,2026-06-01 21:20:45,STF1002,staff-ops,staff-ops,10.20.90.98,10.20.208.22,5432,TCP,231417,DEV0004,0,21,0,0,12.35198087809759,0.48126066141713075,0
NW005265,2026-06-01 21:34:37,STF1024,staff-ops,staff-ops,10.20.94.218,10.20.131.60,8080,TCP,119643,DEV0165,0,21,0,0,11.69227594581923,0.49620430491160794,0
NW000857,2026-06-01 21:43:45,STF1135,staff-ops,staff-ops,10.20.146.175,10.20.86.38,443,TCP,282362,DEV0042,0,21,0,0,12.550948756187347,0.4069396975315416,0
NW001986,2026-06-01 21:44:30,VND2015,vendor-vpn,internet,10.60.112.248,198.51.206.9,22,TCP,351075,DEV0104,0,21,0,1,12.768758003226543,0.5832529074621003,0
NW006059,2026-06-01 23:18:47,VND2031,vendor-vpn,internet,10.60.148.12,198.51.130.60,443,TCP,348023,DEV0065,0,23,1,1,12.76002672189584,0.6458208281601059,0
NW004825,2026-06-01 23:42:04,VND2016,vendor-vpn,vendor-vpn,10.60.18.215,10.20.108.50,8080,TCP,284640,DEV0193,0,23,1,0,12.558984016103159,0.6587933018641827,1
NW003310,2026-06-01 23:47:17,STF1057,staff-ops,internet,10.20.53.3,198.51.1.194,22,TCP,324603,DEV0233,0,23,1,1,12.690361256845605,0.6123040454863401,0
NW003242,2026-06-01 23:59:36,STF1176,staff-ops,staff-ops,10.20.227.214,10.20.145.45,80,TCP,231691,DEV0225,0,23,1,0,12.353164182418254,0.5694341648593202,0
NW003644,2026-06-02 00:10:57,STF1082,staff-ops,staff-ops,10.20.18.217,10.20.0.166,443,TCP,352289,DEV0262,0,0,1,0,12.772209979027236,0.5704168069757495,0
NW003210,2026-06-02 00:26:03,STF1011,staff-ops,staff-ops,10.20.135.35,10.20.61.56,80,TCP,380441,DEV0142,0,0,1,0,12.849089013653265,0.5877838477225698,0
NW001407,2026-06-02 01:45:46,STF1051,staff-ops,internet,10.20.6.94,198.51.159.30,443,UDP,14742,DEV0074,0,1,1,1,9.59852367284982,0.6819584660650656,1
NW002328,2026-06-02 02:52:48,STF1062,staff-ops,staff-ops,10.20.146.174,10.20.165.176,443,TCP,326425,DEV0118,0,2,1,0,12.695958555762395,0.5554560441316433,0
NW000542,2026-06-02 04:20:20,VND2029,vendor-vpn,internet,10.60.200.191,198.51.112.121,443,TCP,134554,DEV0154,0,4,1,1,11.809728316371329,0.6363217171390814,0
NW001718,2026-06-02 04:55:50,VND2023,vendor-vpn,operational-apps,10.60.191.135,10.20.21.107,5432,TCP,6572060,DEV0131,1,4,1,1,15.698338039897802,0.7171937364024714,1
