session_id,timestamp,user_id,role,vendor_firm,application,action,privilege_level,outcome,is_anomalous
OP001526,2026-06-02T09:54:41,VND2001,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,download_bulk_data,elevated,success,0
OP002890,2026-06-02T10:12:51,STF1081,staff,,Baggage-Handling-System,update_schedule,standard,success,0
OP000529,2026-06-02T10:27:47,STF1132,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP002079,2026-06-02T10:27:58,VND2002,vendor,Horizon Cleaning Services,Gate-Management-System,update_schedule,standard,success,0
OP002572,2026-06-02T10:45:35,STF1120,staff,,Departure-Control-System,modify_routing_rule,elevated,success,0
OP000299,2026-06-02T10:47:23,STF1018,staff,,Airfield-Ops-Portal,export_report,standard,success,0
OP001695,2026-06-02T10:47:48,STF1020,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP000125,2026-06-02T10:51:35,STF1109,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001071,2026-06-02T11:07:39,VND2004,vendor,Falcon Cargo Handling,Departure-Control-System,export_report,standard,success,0
OP001826,2026-06-02T11:32:49,VND2017,vendor,Horizon Cleaning Services,Gate-Management-System,read_sensor_status,standard,success,0
OP001051,2026-06-02T11:36:43,VND2021,vendor,Falcon Cargo Handling,Departure-Control-System,read_sensor_status,standard,success,0
OP002795,2026-06-02T11:47:43,VND2034,vendor,SkyLink Ground Services,Cargo-Manifest-System,update_schedule,standard,success,0
OP002903,2026-06-02T11:48:41,VND2031,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP000305,2026-06-02T11:56:09,STF1099,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP002757,2026-06-02T12:00:13,STF1139,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP002107,2026-06-02T12:03:46,VND2013,vendor,Falcon Cargo Handling,Departure-Control-System,read_sensor_status,standard,success,0
OP000524,2026-06-02T12:29:06,STF1160,staff,,Baggage-Handling-System,admin_config_change,elevated,denied,1
OP001843,2026-06-02T12:31:35,STF1100,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001918,2026-06-02T12:53:40,VND2008,vendor,SkyLink Ground Services,Departure-Control-System,export_report,standard,success,0
OP000695,2026-06-02T12:56:56,VND2031,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,update_schedule,standard,success,0
OP000293,2026-06-02T12:58:58,STF1167,staff,,Baggage-Handling-System,update_schedule,standard,success,0
OP003051,2026-06-02T13:26:33,STF1034,staff,,Baggage-Handling-System,update_schedule,standard,success,0
OP001643,2026-06-02T13:31:07,VND2023,vendor,SkyLink Ground Services,Departure-Control-System,view_manifest,standard,success,0
OP001698,2026-06-02T13:50:30,VND2016,vendor,AeroFuel Solutions,Cargo-Manifest-System,update_schedule,standard,success,0
OP000079,2026-06-02T13:54:17,VND2006,vendor,Coastal Catering Co,Departure-Control-System,update_schedule,standard,success,0
OP002580,2026-06-02T13:57:03,VND2021,vendor,Falcon Cargo Handling,Gate-Management-System,view_manifest,standard,success,0
OP002179,2026-06-02T14:19:51,VND2024,vendor,AeroFuel Solutions,Gate-Management-System,update_schedule,standard,success,0
OP000208,2026-06-02T14:31:16,STF1035,staff,,Departure-Control-System,modify_routing_rule,elevated,success,0
OP000105,2026-06-02T15:01:48,STF1063,staff,,Airfield-Ops-Portal,read_sensor_status,standard,success,0
OP002849,2026-06-02T15:12:16,VND2005,vendor,AeroFuel Solutions,Gate-Management-System,view_manifest,standard,success,0
OP000687,2026-06-02T15:43:27,VND2032,vendor,AeroFuel Solutions,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP002774,2026-06-02T15:47:40,VND2015,vendor,AeroFuel Solutions,Cargo-Manifest-System,view_manifest,standard,success,0
OP001187,2026-06-02T15:50:05,STF1075,staff,,Airfield-Ops-Portal,update_schedule,standard,success,0
OP001592,2026-06-02T16:06:09,STF1140,staff,,Departure-Control-System,create_user,elevated,success,0
OP001104,2026-06-02T16:08:02,VND2022,vendor,Falcon Cargo Handling,Airfield-Ops-Portal,read_sensor_status,standard,success,0
OP002893,2026-06-02T16:42:48,VND2004,vendor,Falcon Cargo Handling,Baggage-Handling-System,read_sensor_status,standard,success,0
OP000054,2026-06-02T16:50:39,VND2015,vendor,AeroFuel Solutions,Cargo-Manifest-System,modify_routing_rule,elevated,success,0
OP001811,2026-06-02T17:01:58,STF1103,staff,,Departure-Control-System,modify_routing_rule,elevated,success,0
OP000827,2026-06-02T17:05:27,STF1003,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001495,2026-06-02T17:10:17,STF1059,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP002507,2026-06-02T17:10:39,STF1167,staff,,Airfield-Ops-Portal,update_schedule,standard,success,0
OP001027,2026-06-02T17:16:31,VND2017,vendor,Horizon Cleaning Services,Departure-Control-System,update_schedule,standard,success,0
OP001006,2026-06-02T17:32:17,VND2030,vendor,Meridian Aircraft Maintenance,Cargo-Manifest-System,view_manifest,standard,success,0
OP002315,2026-06-02T17:37:56,STF1163,staff,,Baggage-Handling-System,export_report,standard,success,0
OP001564,2026-06-02T17:54:19,VND2017,vendor,Horizon Cleaning Services,Gate-Management-System,read_sensor_status,standard,success,0
OP002421,2026-06-02T18:03:00,STF1052,staff,,Airfield-Ops-Portal,modify_routing_rule,elevated,success,0
OP002120,2026-06-02T18:27:16,VND2030,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,download_bulk_data,elevated,success,0
OP002864,2026-06-02T18:34:31,VND2010,vendor,SkyLink Ground Services,Airfield-Ops-Portal,export_report,standard,success,0
OP000471,2026-06-02T19:04:41,STF1149,staff,,Baggage-Handling-System,export_report,standard,success,0
OP002371,2026-06-02T19:11:13,STF1010,staff,,Departure-Control-System,update_schedule,standard,success,0
OP001545,2026-06-02T19:17:20,STF1141,staff,,Cargo-Manifest-System,view_manifest,standard,success,0
OP001550,2026-06-02T19:22:11,STF1172,staff,,Departure-Control-System,update_schedule,standard,success,0
OP001225,2026-06-02T20:01:46,VND2027,vendor,Meridian Aircraft Maintenance,Airfield-Ops-Portal,modify_routing_rule,elevated,denied,0
OP002233,2026-06-02T20:17:39,VND2027,vendor,Meridian Aircraft Maintenance,Cargo-Manifest-System,export_report,standard,denied,0
OP002732,2026-06-02T20:33:50,STF1012,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP002788,2026-06-02T20:48:50,STF1131,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP002468,2026-06-02T21:08:12,VND2020,vendor,Coastal Catering Co,Airfield-Ops-Portal,update_schedule,standard,success,0
OP000233,2026-06-02T21:15:48,VND2000,vendor,SkyLink Ground Services,Departure-Control-System,view_manifest,standard,success,0
OP002590,2026-06-02T21:24:47,STF1045,staff,,Departure-Control-System,update_schedule,standard,success,0
OP002343,2026-06-02T21:49:42,STF1042,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP002693,2026-06-02T21:56:42,STF1111,staff,,Cargo-Manifest-System,view_manifest,standard,success,0
OP000621,2026-06-02T21:59:49,STF1097,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP001915,2026-06-02T23:39:44,VND2022,vendor,Falcon Cargo Handling,Departure-Control-System,export_report,standard,success,0
OP001248,2026-06-03T06:22:06,STF1077,staff,,Airfield-Ops-Portal,update_schedule,standard,denied,0
OP001441,2026-06-03T06:31:20,VND2016,vendor,AeroFuel Solutions,Baggage-Handling-System,read_sensor_status,standard,success,0
OP002243,2026-06-03T06:32:42,STF1116,staff,,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP001970,2026-06-03T06:39:58,STF1045,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP001731,2026-06-03T07:37:22,STF1135,staff,,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP002941,2026-06-03T07:39:45,VND2031,vendor,Meridian Aircraft Maintenance,Departure-Control-System,modify_routing_rule,elevated,success,0
OP000479,2026-06-03T07:49:48,STF1138,staff,,Cargo-Manifest-System,download_bulk_data,elevated,success,0
OP001924,2026-06-03T08:54:59,STF1099,staff,,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP000494,2026-06-03T08:55:59,STF1013,staff,,Departure-Control-System,download_bulk_data,elevated,success,0
OP001993,2026-06-03T09:04:09,STF1060,staff,,Airfield-Ops-Portal,admin_config_change,elevated,success,0
OP000475,2026-06-03T09:23:04,STF1010,staff,,Baggage-Handling-System,read_sensor_status,standard,success,0
OP002610,2026-06-03T09:28:07,VND2010,vendor,SkyLink Ground Services,Departure-Control-System,read_sensor_status,standard,success,0
OP000965,2026-06-03T09:37:13,VND2033,vendor,Meridian Aircraft Maintenance,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP000615,2026-06-03T10:13:16,STF1059,staff,,Departure-Control-System,view_manifest,standard,success,0
OP002189,2026-06-03T10:30:52,STF1139,staff,,Cargo-Manifest-System,export_report,standard,success,0
OP000151,2026-06-03T10:37:31,VND2028,vendor,Horizon Cleaning Services,Baggage-Handling-System,view_manifest,standard,success,0
OP001804,2026-06-03T10:51:59,VND2015,vendor,AeroFuel Solutions,Cargo-Manifest-System,view_manifest,standard,success,0
OP002078,2026-06-03T11:16:20,STF1032,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP000366,2026-06-03T11:22:38,STF1109,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP000459,2026-06-03T11:26:55,STF1012,staff,,Departure-Control-System,view_manifest,standard,success,0
OP000775,2026-06-03T11:37:50,STF1121,staff,,Departure-Control-System,admin_config_change,elevated,success,0
OP000774,2026-06-03T11:39:00,VND2000,vendor,SkyLink Ground Services,Gate-Management-System,create_user,elevated,success,0
OP002666,2026-06-03T11:47:45,VND2003,vendor,Falcon Cargo Handling,Departure-Control-System,modify_routing_rule,elevated,success,0
OP001055,2026-06-03T11:48:19,STF1001,staff,,Gate-Management-System,view_manifest,standard,success,0
OP001121,2026-06-03T12:00:52,STF1032,staff,,Cargo-Manifest-System,view_manifest,standard,success,0
OP001028,2026-06-03T12:16:10,STF1136,staff,,Gate-Management-System,update_schedule,standard,success,0
OP002558,2026-06-03T12:26:40,STF1046,staff,,Gate-Management-System,export_report,standard,success,0
OP001938,2026-06-03T13:05:17,STF1166,staff,,Airfield-Ops-Portal,view_manifest,standard,denied,0
OP000600,2026-06-03T13:16:41,VND2009,vendor,Falcon Cargo Handling,Gate-Management-System,read_sensor_status,standard,success,0
OP000547,2026-06-03T13:41:51,STF1024,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP001707,2026-06-03T13:50:48,VND2013,vendor,Falcon Cargo Handling,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP002399,2026-06-03T13:59:57,STF1148,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP001336,2026-06-03T14:00:26,VND2028,vendor,Horizon Cleaning Services,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP002290,2026-06-03T14:08:35,STF1069,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP002859,2026-06-03T14:10:40,VND2000,vendor,SkyLink Ground Services,Airfield-Ops-Portal,view_manifest,standard,success,0
OP000699,2026-06-03T14:24:56,STF1112,staff,,Baggage-Handling-System,update_schedule,standard,success,0
OP002344,2026-06-03T14:38:13,STF1014,staff,,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP001417,2026-06-03T14:56:15,STF1016,staff,,Airfield-Ops-Portal,export_report,standard,success,0
OP001761,2026-06-03T15:12:35,VND2025,vendor,SkyLink Ground Services,Departure-Control-System,update_schedule,standard,success,0
OP002149,2026-06-03T15:23:58,STF1117,staff,,Gate-Management-System,export_report,standard,success,0
OP001457,2026-06-03T15:26:42,VND2010,vendor,SkyLink Ground Services,Baggage-Handling-System,export_report,standard,success,0
OP001086,2026-06-03T16:01:50,STF1048,staff,,Departure-Control-System,update_schedule,standard,success,0
OP002125,2026-06-03T16:04:58,VND2017,vendor,Horizon Cleaning Services,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP000894,2026-06-03T16:22:03,STF1029,staff,,Gate-Management-System,update_schedule,standard,success,0
OP003081,2026-06-03T16:47:10,VND2015,vendor,AeroFuel Solutions,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP001150,2026-06-03T16:52:39,STF1178,staff,,Departure-Control-System,view_manifest,standard,success,0
OP001142,2026-06-03T18:03:42,STF1094,staff,,Baggage-Handling-System,read_sensor_status,standard,success,0
OP002246,2026-06-03T18:09:11,VND2008,vendor,SkyLink Ground Services,Gate-Management-System,read_sensor_status,standard,success,0
OP001621,2026-06-03T18:28:04,STF1048,staff,,Gate-Management-System,modify_routing_rule,elevated,success,0
OP002169,2026-06-03T18:49:29,STF1062,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP002522,2026-06-03T18:50:40,STF1073,staff,,Gate-Management-System,modify_routing_rule,elevated,success,0
OP000092,2026-06-03T19:09:45,STF1066,staff,,Departure-Control-System,update_schedule,standard,success,0
OP000244,2026-06-03T19:11:21,VND2032,vendor,AeroFuel Solutions,Departure-Control-System,update_schedule,standard,success,0
OP000522,2026-06-03T19:16:30,VND2012,vendor,AeroFuel Solutions,Airfield-Ops-Portal,update_schedule,standard,success,0
OP000565,2026-06-03T19:55:56,VND2003,vendor,Falcon Cargo Handling,Departure-Control-System,admin_config_change,elevated,success,0
OP001928,2026-06-03T19:59:01,VND2029,vendor,Horizon Cleaning Services,Departure-Control-System,view_manifest,standard,success,0
OP002109,2026-06-03T20:53:05,STF1117,staff,,Departure-Control-System,view_manifest,standard,success,0
OP002430,2026-06-03T21:21:36,STF1071,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP000550,2026-06-03T21:41:48,STF1173,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001083,2026-06-03T21:51:10,STF1127,staff,,Gate-Management-System,admin_config_change,elevated,success,0
OP000292,2026-06-03T23:35:16,VND2023,vendor,SkyLink Ground Services,Baggage-Handling-System,admin_config_change,elevated,denied,1
OP001008,2026-06-04T00:17:05,VND2013,vendor,Falcon Cargo Handling,Departure-Control-System,update_schedule,standard,success,0
OP001168,2026-06-04T00:35:27,VND2021,vendor,Falcon Cargo Handling,Baggage-Handling-System,update_schedule,standard,success,0
OP002972,2026-06-04T00:35:43,VND2002,vendor,Horizon Cleaning Services,Baggage-Handling-System,update_schedule,standard,success,0
OP002533,2026-06-04T03:11:01,STF1029,staff,,Departure-Control-System,view_manifest,standard,success,0
OP000086,2026-06-04T03:16:44,STF1179,staff,,Baggage-Handling-System,create_user,elevated,success,0
OP002930,2026-06-04T03:23:23,VND2033,vendor,Meridian Aircraft Maintenance,Departure-Control-System,admin_config_change,elevated,denied,1
OP001371,2026-06-04T03:48:13,STF1083,staff,,Gate-Management-System,update_schedule,standard,success,0
OP001575,2026-06-04T04:08:05,VND2005,vendor,AeroFuel Solutions,Baggage-Handling-System,read_sensor_status,standard,success,0
OP001229,2026-06-04T06:21:49,VND2030,vendor,Meridian Aircraft Maintenance,Gate-Management-System,read_sensor_status,standard,success,0
OP001478,2026-06-04T06:23:13,VND2020,vendor,Coastal Catering Co,Gate-Management-System,view_manifest,standard,success,0
OP002193,2026-06-04T06:33:23,STF1127,staff,,Departure-Control-System,update_schedule,standard,success,0
OP000309,2026-06-04T06:49:22,STF1080,staff,,Airfield-Ops-Portal,update_schedule,standard,success,0
OP001620,2026-06-04T07:11:55,STF1100,staff,,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP002239,2026-06-04T07:29:01,STF1147,staff,,Departure-Control-System,view_manifest,standard,success,0
OP002332,2026-06-04T07:54:33,STF1056,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001190,2026-06-04T08:15:59,STF1088,staff,,Baggage-Handling-System,read_sensor_status,standard,success,0
OP000155,2026-06-04T08:19:20,VND2024,vendor,AeroFuel Solutions,Airfield-Ops-Portal,update_schedule,standard,success,0
OP002943,2026-06-04T08:30:02,STF1062,staff,,Baggage-Handling-System,export_report,standard,success,0
OP002085,2026-06-04T09:19:47,STF1045,staff,,Gate-Management-System,view_manifest,standard,success,0
OP000493,2026-06-04T09:53:54,STF1089,staff,,Gate-Management-System,download_bulk_data,elevated,success,0
OP000185,2026-06-04T09:55:03,STF1016,staff,,Departure-Control-System,update_schedule,standard,success,0
OP002345,2026-06-04T10:28:18,STF1017,staff,,Gate-Management-System,admin_config_change,elevated,success,0
OP001778,2026-06-04T10:29:53,STF1117,staff,,Airfield-Ops-Portal,download_bulk_data,elevated,success,0
OP002992,2026-06-04T10:31:54,STF1143,staff,,Gate-Management-System,update_schedule,standard,success,0
OP002390,2026-06-04T11:00:53,STF1055,staff,,Baggage-Handling-System,view_manifest,standard,success,0
