event_id,timestamp,user_id,src_segment,dst_segment,src_ip,dst_ip,port,protocol,bytes,device_id,is_anomalous
NW004428,2026-06-01T06:50:27,STF1050,staff-ops,internet,10.20.7.86,198.51.66.15,443,TCP,253906,DEV0278,0
NW000560,2026-06-01T06:58:29,STF1165,staff-ops,staff-ops,10.20.133.77,10.20.177.18,8080,UDP,99319,DEV0248,0
NW002183,2026-06-01T07:03:44,VND2019,vendor-vpn,internet,10.60.240.11,198.51.89.18,3389,TCP,253341,DEV0132,0
NW000046,2026-06-01T07:17:18,STF1086,staff-ops,staff-ops,10.20.98.98,10.20.30.15,443,TCP,80056,DEV0030,0
NW006165,2026-06-01T07:18:45,VND2002,vendor-vpn,vendor-vpn,10.60.145.232,10.20.210.162,22,TCP,380695,DEV0175,0
NW005700,2026-06-01T07:37:25,STF1099,staff-ops,internet,10.20.99.93,198.51.31.188,443,UDP,221587,DEV0164,0
NW001333,2026-06-01T07:38:47,STF1051,staff-ops,staff-ops,10.20.151.170,10.20.24.213,8080,TCP,216064,DEV0263,0
NW006072,2026-06-01T07:45:23,STF1082,staff-ops,internet,10.20.252.222,198.51.207.158,443,TCP,331533,DEV0075,0
NW004712,2026-06-01T07:49:45,VND2011,vendor-vpn,internet,10.60.115.166,198.51.169.79,443,TCP,76916,DEV0160,0
NW002420,2026-06-01T08:10:46,STF1082,staff-ops,internet,10.20.66.99,198.51.205.194,443,UDP,292205,DEV0012,0
NW003086,2026-06-01T08:26:29,VND2006,vendor-vpn,internet,10.60.5.35,198.51.232.125,80,TCP,385965,DEV0050,0
NW000919,2026-06-01T08:30:24,VND2019,vendor-vpn,vendor-vpn,10.60.191.151,10.20.25.16,443,TCP,126925,DEV0381,0
NW000477,2026-06-01T08:35:12,STF1007,staff-ops,staff-ops,10.20.13.115,10.20.88.234,445,TCP,82191,DEV0134,0
NW001503,2026-06-01T08:38:15,STF1047,staff-ops,staff-ops,10.20.21.97,10.20.254.180,80,UDP,134394,DEV0072,0
NW001087,2026-06-01T08:39:19,STF1139,staff-ops,staff-ops,10.20.16.150,10.20.161.218,8080,TCP,91628,DEV0102,0
NW002791,2026-06-01T08:44:19,VND2014,vendor-vpn,vendor-vpn,10.60.174.80,10.20.97.4,8080,TCP,350740,DEV0059,0
NW002831,2026-06-01T09:11:53,STF1058,staff-ops,staff-ops,10.20.94.180,10.20.130.215,443,UDP,200990,DEV0285,0
NW000009,2026-06-01T09:14:34,VND2005,vendor-vpn,vendor-vpn,10.60.23.53,10.20.200.30,443,TCP,104310,DEV0222,0
NW000741,2026-06-01T09:21:20,STF1080,staff-ops,staff-ops,10.20.162.196,10.20.154.65,80,TCP,119716,DEV0228,0
NW002062,2026-06-01T09:38:04,STF1020,staff-ops,staff-ops,10.20.235.193,10.20.53.160,445,TCP,292923,DEV0060,0
NW004998,2026-06-01T09:49:00,VND2014,vendor-vpn,vendor-vpn,10.60.245.101,10.20.112.29,443,TCP,299308,DEV0381,0
NW005429,2026-06-01T09:51:43,STF1060,staff-ops,staff-ops,10.20.206.26,10.20.88.9,22,UDP,169963,DEV0008,0
NW000527,2026-06-01T09:51:44,STF1054,staff-ops,staff-ops,10.20.34.34,10.20.115.54,443,TCP,279978,DEV0313,0
NW003453,2026-06-01T09:51:58,STF1078,staff-ops,staff-ops,10.20.249.2,10.20.195.78,443,TCP,182807,DEV0123,0
NW001311,2026-06-01T09:59:19,STF1055,staff-ops,staff-ops,10.20.215.92,10.20.248.124,443,TCP,265551,DEV0077,0
NW000001,2026-06-01T10:01:45,STF1049,staff-ops,staff-ops,10.20.61.125,10.20.98.223,5432,TCP,148883,DEV0387,0
NW005432,2026-06-01T10:06:46,VND2023,vendor-vpn,vendor-vpn,10.60.57.239,10.20.234.202,80,TCP,89566,DEV0292,0
NW006146,2026-06-01T10:23:22,STF1056,staff-ops,staff-ops,10.20.61.15,10.20.181.141,22,UDP,310313,DEV0037,0
NW002227,2026-06-01T10:50:01,STF1046,staff-ops,staff-ops,10.20.136.2,10.20.112.221,443,TCP,124268,DEV0109,0
NW000120,2026-06-01T10:50:16,STF1001,staff-ops,staff-ops,10.20.245.16,10.20.170.2,80,TCP,112220,DEV0097,0
NW005304,2026-06-01T10:57:18,VND2015,vendor-vpn,vendor-vpn,10.60.205.250,10.20.160.104,5432,TCP,146870,DEV0182,0
NW000182,2026-06-01T10:57:21,STF1084,staff-ops,staff-ops,10.20.39.74,10.20.57.102,443,TCP,336305,DEV0262,0
NW004860,2026-06-01T10:57:58,STF1024,staff-ops,staff-ops,10.20.194.154,10.20.50.68,443,UDP,29912,DEV0253,0
NW002401,2026-06-01T11:03:09,STF1022,staff-ops,staff-ops,10.20.88.122,10.20.84.92,443,TCP,393186,DEV0148,0
NW002304,2026-06-01T11:17:53,STF1173,staff-ops,staff-ops,10.20.123.97,10.20.110.77,443,TCP,282635,DEV0055,0
NW000067,2026-06-01T11:26:25,STF1128,staff-ops,staff-ops,10.20.226.253,10.20.202.79,8080,TCP,176319,DEV0237,0
NW004570,2026-06-01T11:28:32,STF1065,staff-ops,staff-ops,10.20.137.115,10.20.204.200,443,TCP,295940,DEV0348,0
NW003092,2026-06-01T11:45:06,STF1139,staff-ops,internet,10.20.22.254,198.51.210.113,3389,TCP,67715,DEV0366,0
NW001095,2026-06-01T12:00:48,STF1137,staff-ops,staff-ops,10.20.224.241,10.20.189.38,80,TCP,298355,DEV0119,0
NW003846,2026-06-01T12:11:26,VND2026,vendor-vpn,internet,10.60.127.15,198.51.179.135,80,TCP,349258,DEV0164,0
NW005667,2026-06-01T12:14:16,STF1060,staff-ops,staff-ops,10.20.92.191,10.20.63.158,443,TCP,79713,DEV0383,0
NW000462,2026-06-01T12:15:01,VND2017,vendor-vpn,internet,10.60.219.219,198.51.207.179,3389,TCP,342000,DEV0192,0
NW003185,2026-06-01T12:26:32,STF1166,staff-ops,staff-ops,10.20.29.211,10.20.8.74,80,TCP,243804,DEV0363,0
NW005599,2026-06-01T12:27:51,STF1004,staff-ops,internet,10.20.219.16,198.51.89.100,80,TCP,21961,DEV0115,0
NW005021,2026-06-01T12:28:54,STF1078,staff-ops,staff-ops,10.20.187.47,10.20.228.135,443,UDP,331863,DEV0233,0
NW005269,2026-06-01T12:30:45,STF1073,staff-ops,staff-ops,10.20.129.220,10.20.6.117,443,TCP,26629,DEV0079,0
NW000676,2026-06-01T12:42:13,VND2007,vendor-vpn,vendor-vpn,10.60.33.149,10.20.97.116,22,TCP,127905,DEV0054,0
NW005316,2026-06-01T12:43:35,STF1073,staff-ops,staff-ops,10.20.20.157,10.20.158.175,80,TCP,396339,DEV0309,0
NW004483,2026-06-01T12:46:01,STF1117,staff-ops,staff-ops,10.20.8.218,10.20.115.33,443,UDP,396024,DEV0082,0
NW000658,2026-06-01T12:48:37,VND2000,vendor-vpn,internet,10.60.177.54,198.51.226.94,443,TCP,53504,DEV0209,0
NW003138,2026-06-01T13:03:38,STF1040,staff-ops,staff-ops,10.20.202.51,10.20.205.215,443,TCP,177313,DEV0238,0
NW004732,2026-06-01T13:06:18,STF1007,staff-ops,staff-ops,10.20.100.222,10.20.1.13,80,TCP,210454,DEV0313,0
NW000978,2026-06-01T13:08:29,STF1028,staff-ops,staff-ops,10.20.33.103,10.20.98.106,443,TCP,71432,DEV0277,0
NW003023,2026-06-01T13:22:49,STF1020,staff-ops,staff-ops,10.20.232.22,10.20.138.185,22,UDP,340899,DEV0004,0
NW005621,2026-06-01T13:26:50,STF1159,staff-ops,staff-ops,10.20.88.85,10.20.67.199,8080,TCP,89059,DEV0022,0
NW003527,2026-06-01T13:29:18,STF1176,staff-ops,staff-ops,10.20.130.45,10.20.238.41,22,TCP,288079,DEV0172,0
NW006187,2026-06-01T13:33:56,STF1085,staff-ops,staff-ops,10.20.173.178,10.20.38.181,80,TCP,380468,DEV0358,0
NW006058,2026-06-01T13:35:43,STF1105,staff-ops,staff-ops,10.20.172.86,10.20.38.48,443,TCP,280445,DEV0311,0
NW003924,2026-06-01T13:38:32,STF1021,staff-ops,staff-ops,10.20.194.18,10.20.130.212,8080,TCP,172834,DEV0337,0
NW001562,2026-06-01T14:19:29,VND2000,vendor-vpn,vendor-vpn,10.60.109.198,10.20.206.157,80,UDP,108545,DEV0159,0
NW006269,2026-06-01T14:44:10,STF1095,staff-ops,staff-ops,10.20.41.128,10.20.150.48,443,TCP,216300,DEV0048,0
NW006360,2026-06-01T14:49:53,STF1074,staff-ops,staff-ops,10.20.97.166,10.20.110.113,22,TCP,62463,DEV0100,0
NW000963,2026-06-01T14:53:55,STF1045,staff-ops,staff-ops,10.20.233.222,10.20.42.85,443,TCP,13845,DEV0065,0
NW003437,2026-06-01T14:56:48,VND2010,vendor-vpn,internet,10.60.212.247,198.51.202.15,22,TCP,343836,DEV0075,0
NW004075,2026-06-01T14:59:24,STF1001,staff-ops,staff-ops,10.20.72.189,10.20.13.34,445,TCP,36689,DEV0345,0
NW000551,2026-06-01T14:59:34,STF1157,staff-ops,internet,10.20.239.77,198.51.245.220,443,TCP,154360,DEV0235,0
NW000885,2026-06-01T15:07:43,VND2015,vendor-vpn,internet,10.60.49.35,198.51.147.26,443,TCP,397114,DEV0009,0
NW004947,2026-06-01T15:15:34,STF1097,staff-ops,internet,10.20.163.119,198.51.115.229,8080,TCP,99288,DEV0228,0
NW002512,2026-06-01T15:23:28,STF1158,staff-ops,staff-ops,10.20.81.141,10.20.13.18,443,TCP,187158,DEV0135,0
NW000484,2026-06-01T15:29:51,STF1028,staff-ops,staff-ops,10.20.177.30,10.20.42.39,443,TCP,172479,DEV0289,0
NW004858,2026-06-01T15:31:14,STF1020,staff-ops,internet,10.20.170.220,198.51.205.232,5432,UDP,189208,DEV0189,0
NW000281,2026-06-01T15:41:31,VND2025,vendor-vpn,vendor-vpn,10.60.103.93,10.20.232.120,443,TCP,11168,DEV0159,0
NW001481,2026-06-01T15:43:00,STF1179,staff-ops,staff-ops,10.20.226.150,10.20.221.226,8080,TCP,227314,DEV0125,0
NW004408,2026-06-01T15:46:47,STF1000,staff-ops,staff-ops,10.20.117.85,10.20.236.112,80,TCP,42623,DEV0050,0
NW006364,2026-06-01T15:51:07,VND2013,vendor-vpn,vendor-vpn,10.60.161.26,10.20.16.75,22,UDP,337153,DEV0205,0
NW001934,2026-06-01T15:51:17,STF1029,staff-ops,staff-ops,10.20.245.238,10.20.168.99,8080,TCP,223354,DEV0223,0
NW001704,2026-06-01T15:54:26,STF1177,staff-ops,staff-ops,10.20.251.212,10.20.98.159,443,TCP,262315,DEV0251,0
NW003372,2026-06-01T16:01:55,STF1029,staff-ops,staff-ops,10.20.254.239,10.20.24.116,3389,TCP,298856,DEV0282,0
NW002855,2026-06-01T16:09:50,STF1174,staff-ops,staff-ops,10.20.128.54,10.20.234.9,445,TCP,393821,DEV0071,0
NW005812,2026-06-01T16:16:50,STF1021,staff-ops,staff-ops,10.20.95.87,10.20.116.213,8080,TCP,257765,DEV0165,0
NW001572,2026-06-01T16:25:37,STF1044,staff-ops,internet,10.20.224.85,198.51.51.252,22,TCP,144038,DEV0295,0
NW005597,2026-06-01T16:26:24,STF1032,staff-ops,internet,10.20.167.205,198.51.19.130,443,TCP,373350,DEV0217,0
NW001129,2026-06-01T16:30:20,STF1167,staff-ops,internet,10.20.2.87,198.51.241.39,445,TCP,152711,DEV0312,0
NW000914,2026-06-01T16:45:24,VND2009,vendor-vpn,internet,10.60.137.36,198.51.128.73,8080,TCP,42792,DEV0092,0
NW003281,2026-06-01T16:57:16,STF1046,staff-ops,staff-ops,10.20.210.174,10.20.28.29,3389,UDP,210673,DEV0377,0
NW002081,2026-06-01T17:01:13,STF1036,staff-ops,staff-ops,10.20.55.198,10.20.15.88,443,TCP,67366,DEV0350,0
NW003073,2026-06-01T17:20:15,STF1010,staff-ops,staff-ops,10.20.151.188,10.20.180.52,443,TCP,128193,DEV0057,0
NW000117,2026-06-01T17:27:28,STF1124,staff-ops,staff-ops,10.20.212.64,10.20.25.189,80,TCP,386851,DEV0355,0
NW002373,2026-06-01T17:33:08,STF1165,staff-ops,internet,10.20.219.170,198.51.84.207,5432,TCP,109807,DEV0023,0
NW003649,2026-06-01T17:39:38,STF1179,staff-ops,internet,10.20.176.214,198.51.29.120,3389,TCP,348504,DEV0365,0
NW001537,2026-06-01T17:40:51,STF1091,staff-ops,internet,10.20.237.189,198.51.205.180,5432,TCP,80300,DEV0024,0
NW003057,2026-06-01T17:42:20,VND2005,vendor-vpn,internet,10.60.62.224,198.51.160.216,443,TCP,81095,DEV0093,0
NW006020,2026-06-01T17:46:47,STF1086,staff-ops,staff-ops,10.20.56.65,10.20.176.207,443,UDP,245216,DEV0364,0
NW005400,2026-06-01T17:51:02,STF1155,staff-ops,internet,10.20.198.145,198.51.136.196,22,UDP,109219,DEV0387,0
NW006179,2026-06-01T17:51:44,STF1121,staff-ops,staff-ops,10.20.226.3,10.20.94.17,22,TCP,85700,DEV0185,0
NW006303,2026-06-01T17:52:12,VND2032,vendor-vpn,vendor-vpn,10.60.65.188,10.20.203.227,445,TCP,198769,DEV0321,0
NW006089,2026-06-01T18:12:16,STF1097,staff-ops,staff-ops,10.20.156.179,10.20.8.91,443,TCP,242411,DEV0375,0
NW002404,2026-06-01T18:20:32,STF1155,staff-ops,internet,10.20.233.89,198.51.4.154,443,TCP,311173,DEV0323,0
NW003306,2026-06-01T18:32:07,VND2028,vendor-vpn,vendor-vpn,10.60.228.218,10.20.66.74,3389,UDP,353529,DEV0223,0
NW000512,2026-06-01T18:34:23,STF1018,staff-ops,operational-apps,10.20.234.32,10.20.231.53,5432,UDP,2883530,DEV0376,1
NW000061,2026-06-01T18:56:57,STF1140,staff-ops,staff-ops,10.20.231.149,10.20.160.79,443,TCP,19095,DEV0277,0
NW002055,2026-06-01T18:57:54,STF1165,staff-ops,internet,10.20.16.127,198.51.149.35,443,TCP,50415,DEV0071,0
NW005998,2026-06-01T19:11:00,STF1116,staff-ops,internet,10.20.183.113,198.51.15.82,80,TCP,248288,DEV0003,0
NW000825,2026-06-01T19:13:07,STF1154,staff-ops,internet,10.20.194.59,198.51.175.226,443,UDP,218772,DEV0176,0
NW001229,2026-06-01T19:24:52,STF1013,staff-ops,internet,10.20.225.66,198.51.35.19,443,TCP,212561,DEV0302,0
NW004693,2026-06-01T19:30:22,STF1141,staff-ops,staff-ops,10.20.82.182,10.20.11.70,80,TCP,351926,DEV0279,0
NW000536,2026-06-01T19:32:48,STF1036,staff-ops,staff-ops,10.20.145.90,10.20.118.113,5432,TCP,304248,DEV0014,0
NW001768,2026-06-01T19:43:10,STF1165,staff-ops,internet,10.20.120.154,198.51.5.196,443,TCP,90140,DEV0001,0
NW003570,2026-06-01T19:46:41,STF1124,staff-ops,staff-ops,10.20.26.43,10.20.92.96,5432,TCP,88623,DEV0384,0
NW006254,2026-06-01T19:46:54,STF1173,staff-ops,staff-ops,10.20.221.161,10.20.200.56,443,TCP,199424,DEV0317,0
NW000659,2026-06-01T19:53:07,STF1088,staff-ops,staff-ops,10.20.15.217,10.20.44.170,8080,UDP,298190,DEV0006,0
NW004725,2026-06-01T19:54:32,STF1070,staff-ops,staff-ops,10.20.84.128,10.20.98.155,80,TCP,326984,DEV0353,0
NW005677,2026-06-01T19:59:52,VND2006,vendor-vpn,vendor-vpn,10.60.46.109,10.20.221.205,443,TCP,364711,DEV0327,0
NW006356,2026-06-01T20:14:33,VND2003,vendor-vpn,vendor-vpn,10.60.49.201,10.20.77.200,443,TCP,134186,DEV0380,0
NW005028,2026-06-01T20:16:08,STF1160,staff-ops,staff-ops,10.20.191.213,10.20.220.107,80,TCP,44176,DEV0200,0
NW000664,2026-06-01T20:26:56,STF1110,staff-ops,staff-ops,10.20.94.235,10.20.34.121,80,UDP,86194,DEV0170,0
NW004340,2026-06-01T20:41:36,STF1019,staff-ops,staff-ops,10.20.210.170,10.20.172.79,22,UDP,222148,DEV0062,0
NW004440,2026-06-01T21:20:45,STF1002,staff-ops,staff-ops,10.20.90.98,10.20.208.22,5432,TCP,231417,DEV0004,0
NW005265,2026-06-01T21:34:37,STF1024,staff-ops,staff-ops,10.20.94.218,10.20.131.60,8080,TCP,119643,DEV0165,0
NW000857,2026-06-01T21:43:45,STF1135,staff-ops,staff-ops,10.20.146.175,10.20.86.38,443,TCP,282362,DEV0042,0
NW001986,2026-06-01T21:44:30,VND2015,vendor-vpn,internet,10.60.112.248,198.51.206.9,22,TCP,351075,DEV0104,0
NW006059,2026-06-01T23:18:47,VND2031,vendor-vpn,internet,10.60.148.12,198.51.130.60,443,TCP,348023,DEV0065,0
NW004825,2026-06-01T23:42:04,VND2016,vendor-vpn,vendor-vpn,10.60.18.215,10.20.108.50,8080,TCP,284640,DEV0193,0
NW003310,2026-06-01T23:47:17,STF1057,staff-ops,internet,10.20.53.3,198.51.1.194,22,TCP,324603,DEV0233,0
NW003242,2026-06-01T23:59:36,STF1176,staff-ops,staff-ops,10.20.227.214,10.20.145.45,80,TCP,231691,DEV0225,0
NW003644,2026-06-02T00:10:57,STF1082,staff-ops,staff-ops,10.20.18.217,10.20.0.166,443,TCP,352289,DEV0262,0
NW003210,2026-06-02T00:26:03,STF1011,staff-ops,staff-ops,10.20.135.35,10.20.61.56,80,TCP,380441,DEV0142,0
NW001407,2026-06-02T01:45:46,STF1051,staff-ops,internet,10.20.6.94,198.51.159.30,443,UDP,14742,DEV0074,0
NW002328,2026-06-02T02:52:48,STF1062,staff-ops,staff-ops,10.20.146.174,10.20.165.176,443,TCP,326425,DEV0118,0
NW000542,2026-06-02T04:20:20,VND2029,vendor-vpn,internet,10.60.200.191,198.51.112.121,443,TCP,134554,DEV0154,0
NW001718,2026-06-02T04:55:50,VND2023,vendor-vpn,operational-apps,10.60.191.135,10.20.21.107,5432,TCP,6572060,DEV0131,1
NW003009,2026-06-02T04:58:58,STF1004,staff-ops,internet,10.20.17.186,198.51.207.72,80,TCP,392966,DEV0023,0
NW004487,2026-06-02T06:00:17,STF1002,staff-ops,staff-ops,10.20.141.31,10.20.117.211,5432,TCP,211679,DEV0356,0
NW000613,2026-06-02T06:05:04,STF1007,staff-ops,staff-ops,10.20.67.212,10.20.100.245,8080,TCP,116815,DEV0125,0
NW003155,2026-06-02T06:17:35,STF1109,staff-ops,staff-ops,10.20.3.23,10.20.128.215,3389,UDP,195838,DEV0292,0
NW003814,2026-06-02T06:38:19,STF1045,staff-ops,staff-ops,10.20.202.35,10.20.100.125,443,TCP,233866,DEV0180,0
NW003212,2026-06-02T06:47:38,VND2011,vendor-vpn,vendor-vpn,10.60.173.61,10.20.32.244,8080,TCP,396698,DEV0350,0
NW005131,2026-06-02T06:50:17,STF1051,staff-ops,staff-ops,10.20.95.124,10.20.199.19,443,UDP,393404,DEV0235,0
NW001927,2026-06-02T06:50:22,STF1159,staff-ops,staff-ops,10.20.238.56,10.20.236.71,443,TCP,46739,DEV0237,0
NW005094,2026-06-02T06:50:27,VND2027,vendor-vpn,vendor-vpn,10.60.252.135,10.20.116.3,443,TCP,109357,DEV0143,0
NW004740,2026-06-02T06:51:51,STF1058,staff-ops,staff-ops,10.20.90.196,10.20.51.167,80,TCP,223343,DEV0390,0
NW000703,2026-06-02T06:52:43,STF1053,staff-ops,staff-ops,10.20.147.76,10.20.125.85,80,TCP,158178,DEV0041,0
NW001120,2026-06-02T07:00:45,STF1041,staff-ops,internet,10.20.61.15,198.51.249.24,22,TCP,88448,DEV0083,0
NW001050,2026-06-02T07:01:10,STF1043,staff-ops,staff-ops,10.20.167.7,10.20.154.239,443,UDP,329704,DEV0160,0
NW004727,2026-06-02T07:05:34,VND2006,vendor-vpn,vendor-vpn,10.60.77.185,10.20.148.9,443,TCP,396205,DEV0109,0
NW002502,2026-06-02T07:09:22,STF1110,staff-ops,internet,10.20.218.127,198.51.251.200,443,TCP,133674,DEV0027,0
NW001975,2026-06-02T07:14:22,STF1169,staff-ops,staff-ops,10.20.54.16,10.20.217.91,443,TCP,33319,DEV0085,0
NW002317,2026-06-02T07:24:04,STF1145,staff-ops,staff-ops,10.20.113.202,10.20.157.220,443,TCP,186070,DEV0233,0
NW001588,2026-06-02T07:24:46,STF1128,staff-ops,staff-ops,10.20.126.229,10.20.93.239,443,TCP,207348,DEV0177,0
NW005620,2026-06-02T07:33:12,STF1138,staff-ops,internet,10.20.201.120,198.51.140.133,22,TCP,9384,DEV0004,0
NW005328,2026-06-02T07:35:40,STF1135,staff-ops,staff-ops,10.20.13.203,10.20.214.30,80,TCP,244901,DEV0014,0
NW003715,2026-06-02T07:43:48,STF1100,staff-ops,internet,10.20.179.32,198.51.99.65,443,UDP,156607,DEV0245,0
NW004663,2026-06-02T07:50:28,VND2033,vendor-vpn,vendor-vpn,10.60.228.21,10.20.217.53,80,UDP,91445,DEV0142,0
NW006306,2026-06-02T07:58:05,VND2025,vendor-vpn,internet,10.60.138.69,198.51.132.33,443,UDP,191396,DEV0375,0
NW005997,2026-06-02T08:00:56,STF1073,staff-ops,staff-ops,10.20.120.60,10.20.166.100,443,TCP,306970,DEV0027,0
NW005296,2026-06-02T08:03:21,STF1173,staff-ops,staff-ops,10.20.140.58,10.20.89.248,8080,TCP,357860,DEV0147,0
NW004678,2026-06-02T08:03:24,VND2004,vendor-vpn,vendor-vpn,10.60.75.147,10.20.156.138,443,TCP,302740,DEV0363,0
NW006190,2026-06-02T08:12:14,STF1054,staff-ops,internet,10.20.200.121,198.51.57.86,8080,TCP,17889,DEV0326,0
NW000565,2026-06-02T08:21:03,STF1139,staff-ops,staff-ops,10.20.165.101,10.20.243.200,5432,TCP,106356,DEV0333,0
NW000711,2026-06-02T08:31:36,STF1058,staff-ops,staff-ops,10.20.146.68,10.20.18.49,443,UDP,88059,DEV0222,0
NW001077,2026-06-02T08:37:01,STF1034,staff-ops,staff-ops,10.20.241.121,10.20.221.83,8080,TCP,221067,DEV0296,0
NW006117,2026-06-02T08:45:28,STF1155,staff-ops,staff-ops,10.20.176.196,10.20.219.124,5432,TCP,84417,DEV0272,0
NW001341,2026-06-02T08:52:37,STF1017,staff-ops,staff-ops,10.20.188.185,10.20.241.243,443,TCP,37695,DEV0198,0
NW003303,2026-06-02T09:02:04,STF1035,staff-ops,staff-ops,10.20.50.157,10.20.67.209,5432,TCP,42836,DEV0114,0
NW002098,2026-06-02T09:04:24,STF1062,staff-ops,internet,10.20.215.237,198.51.140.13,443,TCP,224503,DEV0135,0
NW005159,2026-06-02T09:08:49,VND2025,vendor-vpn,internet,10.60.117.204,198.51.233.7,8080,TCP,107741,DEV0285,0
NW000674,2026-06-02T09:09:25,STF1083,staff-ops,staff-ops,10.20.219.6,10.20.33.87,443,UDP,167688,DEV0187,0
NW006162,2026-06-02T09:10:10,STF1167,staff-ops,staff-ops,10.20.174.8,10.20.39.206,5432,TCP,114685,DEV0054,0
NW001241,2026-06-02T09:19:59,STF1061,staff-ops,staff-ops,10.20.41.108,10.20.90.147,80,TCP,84538,DEV0178,0
NW006137,2026-06-02T09:26:22,STF1033,staff-ops,staff-ops,10.20.122.15,10.20.57.197,443,UDP,387863,DEV0301,0
NW000072,2026-06-02T09:38:01,STF1179,staff-ops,staff-ops,10.20.59.13,10.20.3.204,443,TCP,46305,DEV0289,0
NW001526,2026-06-02T09:39:36,STF1119,staff-ops,staff-ops,10.20.179.113,10.20.121.246,443,TCP,184171,DEV0271,0
NW006256,2026-06-02T09:43:36,STF1151,staff-ops,internet,10.20.133.218,198.51.83.54,22,TCP,85789,DEV0095,0
NW001121,2026-06-02T09:44:17,STF1160,staff-ops,staff-ops,10.20.165.207,10.20.136.248,8080,TCP,111133,DEV0044,0
NW003317,2026-06-02T09:46:56,STF1059,staff-ops,staff-ops,10.20.3.174,10.20.182.27,443,TCP,201980,DEV0299,0
NW000555,2026-06-02T09:48:20,STF1068,staff-ops,staff-ops,10.20.114.88,10.20.165.83,8080,TCP,154888,DEV0224,0
NW002453,2026-06-02T09:49:18,STF1094,staff-ops,staff-ops,10.20.72.194,10.20.8.10,5432,TCP,93319,DEV0255,0
NW004643,2026-06-02T09:59:20,VND2003,vendor-vpn,vendor-vpn,10.60.104.223,10.20.148.92,443,TCP,192493,DEV0244,0
NW000127,2026-06-02T10:07:47,STF1105,staff-ops,staff-ops,10.20.163.236,10.20.51.246,8080,TCP,52555,DEV0008,0
NW000018,2026-06-02T10:20:55,VND2021,vendor-vpn,vendor-vpn,10.60.15.3,10.20.62.194,443,TCP,136116,DEV0119,0
NW001596,2026-06-02T10:27:03,STF1030,staff-ops,staff-ops,10.20.57.108,10.20.148.239,22,UDP,119635,DEV0080,0
NW000567,2026-06-02T10:32:42,STF1011,staff-ops,staff-ops,10.20.80.220,10.20.149.78,443,TCP,86910,DEV0310,0
NW003681,2026-06-02T10:34:24,STF1001,staff-ops,staff-ops,10.20.221.222,10.20.145.232,5432,UDP,391231,DEV0233,0
NW003676,2026-06-02T10:37:59,STF1026,staff-ops,staff-ops,10.20.164.115,10.20.94.75,443,TCP,158938,DEV0301,0
NW002320,2026-06-02T10:37:59,STF1032,staff-ops,staff-ops,10.20.153.183,10.20.56.184,8080,TCP,162095,DEV0179,0
NW006262,2026-06-02T10:52:56,STF1031,staff-ops,staff-ops,10.20.119.154,10.20.100.101,443,TCP,64376,DEV0298,0
